Cảm biến chuyển động (Motion sensor) hoạt động dựa trên nguyên lý nào?,Phát sóng siêu âm và nhận sóng phản xạ từ vật để xác định vị trí và tốc độ.
"Khi sử dụng cảm biến chuyển động, thiết bị nào giúp hiển thị đồ thị quãng đường - thời gian của vật?",Máy tính kết nối với cảm biến.
"Trong phương pháp phân tích video, đại lượng nào giúp xác định thời gian chuyển động giữa các khung hình?",Tỉ lệ khung hình (số khung hình trên giây).
"Nếu một camera quay với tốc độ $30$ khung hình/giây, thời gian giữa hai khung hình liên tiếp là bao nhiêu?",$\frac{1}{30} s$.
Một ưu điểm của việc sử dụng điện thoại thông minh để đo tốc độ là gì?,Có thể ghi hình chuyển động thực tế và sử dụng phần mềm phân tích để có kết quả nhanh chóng.
Đo tốc độ bằng đồng hồ cần rung có nhược điểm gì so với cổng quang điện?,Ma sát giữa cần rung và băng giấy có thể làm ảnh hưởng đến chuyển động của vật.
Thành phần số (6) trong bộ thí nghiệm đo tốc độ bi thép (Hình 6.6) là gì?,"Giá đỡ có đế ba chân, có vít chỉnh cân bằng và trụ thép."
Thành phần số (4) trong bộ thí nghiệm đo tốc độ bi thép (Hình 6.6) là gì?,"Máng có giá đỡ bằng hợp kim nhôm, có gắn thước đo góc và dây dọi."
"Để giảm sai số trong thí nghiệm đo thời gian, người ta thường thực hiện phép đo bao nhiêu lần?",Thực hiện ít nhất $3$ đến $5$ lần để lấy giá trị trung bình.
"Nếu đo quãng đường bằng thước có ĐCNN là $1 mm$, thì sai số dụng cụ $\Delta s$ là bao nhiêu?","$0,001 m$."
"Trong Bảng 6.1, giá trị trung bình của thời gian $\bar{t}$ được tính theo công thức nào cho 3 lần đo?",$\bar{t} = \frac{t_1 + t_2 + t_3}{3}$.
Đại lượng nào sau đây là đại lượng đo trực tiếp trong thí nghiệm xác định tốc độ tức thời bằng cổng quang điện?,Đường kính viên bi $d$ và thời gian chắn cổng quang $t$.
"Khi sử dụng đồng hồ đo thời gian hiện số, vì sao cần nhấn nút RESET trước mỗi lần đo mới?",Để xóa kết quả của lần đo trước và bắt đầu tính thời gian từ giá trị $0$.
Tại sao phải đặt máng nhôm nghiêng trong thí nghiệm đo tốc độ viên bi thép?,Để viên bi có thể tự chuyển động dưới tác dụng của trọng lực.
"Trong MODE A $\leftrightarrow$ B, đồng hồ bắt đầu đếm khi nào?",Khi vật bắt đầu chắn cổng quang điện nối ở ổ A.
"Trong MODE A $\leftrightarrow$ B, đồng hồ dừng đếm khi nào?",Khi vật bắt đầu chắn cổng quang điện nối ở ổ B.
Dụng cụ số (3) trong Hình 6.6 dùng để làm gì?,Dùng để giữ viên bi thép tại vị trí xuất phát và thả bi bằng cách ngắt điện.
Tốc độ đo được bằng đồng hồ cần rung là tốc độ trung bình hay tốc độ tức thời?,Tốc độ trung bình trên mỗi khoảng thời gian giữa hai dấu chấm.
Vì sao việc sử dụng cảm biến chuyển động lại thuận tiện hơn so với đo bằng thước và đồng hồ bấm giây thủ công?,"Vì nó tự động đo và vẽ đồ thị, giảm thiểu sai số do con người."
"Trong thí nghiệm Hình 6.6, làm thế nào để thay đổi gia tốc của viên bi?",Thay đổi độ nghiêng của máng nhôm.
"Khi sử dụng thước cặp để đo đường kính bi, bộ phận nào của thước tiếp xúc với viên bi?",Hai mỏ đo của thước cặp.
"Nếu viên bi không đi qua chính giữa cổng quang điện, kết quả đo thời gian có bị ảnh hưởng không?","Có, vì quãng đường chắn sáng không còn bằng đường kính viên bi, gây sai số cho tốc độ tức thời."
Đơn vị thường dùng của tốc độ trong các thí nghiệm này là gì?,$m/s$.
Giá trị sai số tuyệt đối trung bình của thời gian $\overline{\Delta t}$ được tính như thế nào từ 3 lần đo?,$\overline{\Delta t} = \frac{|\bar{t} - t_1| + |\bar{t} - t_2| + |\bar{t} - t_3|}{3}$.
Chế độ MODE A+B của đồng hồ MC964 đo tổng thời gian vật chắn cổng A và cổng B; điều này có ý nghĩa gì trong thực hành?,Giúp so sánh thời gian chắn sáng tại hai vị trí khác nhau để khảo sát sự thay đổi tốc độ.
